block_date,total_eth_balance,number_of_addresses
2016-11-28,86416582.93617738,168799
2016-11-29,86449559.886750848,169023
2016-11-30,86481399.058360426,169759
2016-12-01,86513146.350438225,169893
2016-12-02,86544941.895626411,170186
2016-12-03,86577057.432450781,170377
2016-12-04,86608231.933082014,169878
2016-12-05,86639462.513527695,170094
2016-12-06,86671440.465692122,170394
2016-12-07,86703150.304668658,170830
2016-12-08,86735243.388186716,171141
2016-12-09,86766903.264383978,169474
2016-12-10,86798578.828402277,169784
2016-12-11,86830356.770005278,169997
2016-12-12,86861698.422240142,170073
2016-12-13,86893507.582290438,170315
2016-12-14,86925357.080820876,170626
2016-12-15,86956723.384113271,170606
2016-12-16,86988478.926273252,170915
2016-12-17,87020440.552019571,171122
2016-12-18,87052329.289596081,171325
2016-12-19,87083801.201613487,171503
2016-12-20,87115469.159601556,172396
2016-12-21,87147060.834656103,172730
2016-12-22,87178133.460971646,172799
2016-12-23,87209249.49512636,172939
2016-12-24,87240575.431860665,173137
2016-12-25,87272583.15997861,173450
2016-12-26,87304226.929449862,173786
2016-12-27,87335448.376279488,173775
2016-12-28,87367022.263785772,173767
2016-12-29,87398839.722299228,174204
2016-12-30,87430519.318520818,174192
2016-12-31,87461746.483551541,174371
2017-01-01,87493494.122843801,174631
2017-01-02,87525019.998505468,174819
2017-01-03,87556544.959826676,175043
2017-01-04,87588642.79833939,175697
2017-01-05,87620458.432543423,176157
2017-01-06,87651816.146500194,176433
2017-01-07,87683709.817212351,176624
2017-01-08,87715393.371081299,177365
2017-01-09,87747141.89273323,176733
2017-01-10,87778491.045114067,177389
2017-01-11,87810012.725627797,177934
2017-01-12,87841568.607403146,178030
2017-01-13,87873298.080476002,178519
2017-01-14,87904775.150306958,179083
2017-01-15,87936475.794936526,179720
2017-01-16,87968014.970174605,180817
2017-01-17,87999309.749517683,181460
2017-01-18,88030913.8945391,182012
2017-01-19,88063036.168421346,182628
2017-01-20,88094153.204947752,182621
2017-01-21,88125675.516744429,183232
2017-01-22,88157251.878583868,183834
2017-01-23,88188748.981831387,184445
2017-01-24,88220167.643922341,184892
2017-01-25,88251589.520554874,185365
2017-01-26,88283372.780940992,186025
2017-01-27,88314486.052942404,186495
2017-01-28,88346012.738110498,187012
2017-01-29,88377131.310791538,187500
2017-01-30,88409058.151691942,187819
2017-01-31,88440470.951956554,187934
2017-02-01,88471801.831973996,188106
2017-02-02,88503214.447128582,187993
2017-02-03,88534486.755606879,188180
2017-02-04,88566246.109359261,188221
2017-02-05,88597843.708174837,188474
2017-02-06,88629469.751237185,188788
2017-02-07,88660959.864976992,189010
2017-02-08,88692662.825880169,189075
2017-02-09,88724092.82583117,189237
2017-02-10,88755588.470156975,189506
